Date-time;Type;Metadato grafico storico;SER007 - San Giorgio - Misura livello vasca sinistra (m);SER007 - San Giorgio - Misura livello vasca destra (m);SER007 - San Giorgio - Portata ingresso vasca (l/s);SER007 - San Giorgio - Portata uscita Guncina (l/s);SER007 - San Giorgio - Portata uscita Rafenstein (l/s)
2025/03/17 08:23:00;A;;2,84;;;;
2025/03/17 08:24:00;A;;;2,80;;;
2025/03/17 08:25:00;A;;;;;0,7;0,6
2025/03/17 08:30:00;A;;2,89;2,84;0,0;0,5;0,4
2025/03/17 08:30:01;P;;;;;0,5;
2025/03/17 08:35:00;A;;;;;0,0;
2025/03/17 08:38:00;A;;2,94;2,89;;;
2025/03/17 08:45:00;P;;2,99;2,94;0,0;0,0;0,4
2025/03/17 08:53:00;A;;3,04;2,99;;;
2025/03/17 09:00:00;P;;3,04;2,99;0,0;0,0;0,3
2025/03/17 09:10:00;A;;;;;0,6;
2025/03/17 09:15:00;A;;3,03;2,98;0,0;0,0;0,2
2025/03/17 09:15:01;P;;;;;0,0;
2025/03/17 09:25:00;A;;;;;;0,5
2025/03/17 09:30:00;P;;3,01;2,96;0,0;0,0;0,4
2025/03/17 09:45:00;A;;3,00;2,95;0,0;0,5;0,2
2025/03/17 09:45:01;P;;;;;0,5;0,2
2025/03/17 10:00:00;P;;2,99;2,94;0,0;0,5;0,2
2025/03/17 10:10:00;A;;;;;0,8;
2025/03/17 10:15:00;P;;2,98;2,92;0,0;0,6;0,2
2025/03/17 10:20:00;A;;;;;0,0;
2025/03/17 10:30:00;P;;2,96;2,91;0,0;0,0;0,3
2025/03/17 10:45:00;P;;2,95;2,90;0,0;0,0;0,4
2025/03/17 11:00:00;P;;2,94;2,89;0,0;0,0;0,2
2025/03/17 11:15:00;A;;2,92;2,88;0,0;0,5;0,2
2025/03/17 11:15:01;P;;;;;0,5;
2025/03/17 11:20:00;A;;;;;0,0;
2025/03/17 11:25:00;A;;;;;0,5;
2025/03/17 11:30:00;P;;2,91;2,86;0,0;0,5;0,4
2025/03/17 11:45:00;A;;2,90;2,85;0,0;0,0;0,3
2025/03/17 11:45:01;P;;;;;0,0;
2025/03/17 11:50:00;A;;;;;0,5;
2025/03/17 11:55:00;A;;;;;0,0;0,6
2025/03/17 12:00:00;P;;2,89;2,84;0,0;0,0;0,6
2025/03/17 12:10:00;A;;;;;;0,3
2025/03/17 12:15:00;P;;2,87;2,82;0,0;0,0;0,3
2025/03/17 12:20:00;A;;;;;0,5;
2025/03/17 12:30:00;P;;2,86;2,81;0,0;0,5;0,3
2025/03/17 12:35:00;A;;;;;0,0;
2025/03/17 12:45:00;P;;2,84;2,80;0,0;0,0;0,2
2025/03/17 13:00:00;P;;2,84;2,79;0,0;0,0;0,2
2025/03/17 13:15:00;P;;2,83;2,78;0,0;0,0;0,4
2025/03/17 13:20:00;A;;;;;0,6;
2025/03/17 13:30:00;A;;2,82;2,76;0,0;0,0;0,3
2025/03/17 13:30:01;P;;;;;0,0;
2025/03/17 13:45:00;P;;2,80;2,75;0,0;0,0;0,2
2025/03/17 14:00:00;A;;2,79;2,74;0,0;0,5;0,5
2025/03/17 14:00:01;P;;;;;0,5;0,5
2025/03/17 14:10:00;A;;;;;;0,2
2025/03/17 14:15:00;P;;2,77;2,73;0,0;0,6;0,3
2025/03/17 14:20:00;A;;;;;0,0;
2025/03/17 14:30:00;A;;2,76;2,71;0,0;0,5;0,3
2025/03/17 14:30:01;P;;;;;0,5;
2025/03/17 14:45:00;P;;2,75;2,70;0,0;0,5;0,3
2025/03/17 14:50:00;A;;;;;0,0;
2025/03/17 15:00:00;P;;2,74;2,69;0,0;0,0;0,2
2025/03/17 15:15:00;P;;2,73;2,68;0,0;0,0;0,2
2025/03/17 15:30:00;A;;2,72;2,67;0,0;0,0;0,0
2025/03/17 15:30:01;P;;;;;;0,0
2025/03/17 15:45:00;P;;2,71;2,66;0,0;0,0;0,0
2025/03/17 16:00:00;A;;2,70;2,65;0,0;0,0;0,3
2025/03/17 16:00:01;P;;;;;;0,3
2025/03/17 16:15:00;A;;2,71;2,64;0,0;0,4;0,0
2025/03/17 16:15:01;P;;;;;0,4;0,0
2025/03/17 16:30:00;A;;2,68;2,63;0,0;0,5;0,2
2025/03/17 16:30:01;P;;;;;;0,2
2025/03/17 16:35:00;A;;;;;0,0;
2025/03/17 16:40:00;A;;;2,68;;;
2025/03/17 16:41:00;A;;2,74;;;;
2025/03/17 16:45:00;P;;2,77;2,72;0,0;0,0;0,2
2025/03/17 16:52:00;A;;2,82;2,78;;;
2025/03/17 16:58:00;A;;2,87;;;;
2025/03/17 16:59:00;A;;;2,83;;;
2025/03/17 17:00:00;P;;2,89;2,84;0,0;0,0;0,2
2025/03/17 17:07:00;A;;2,94;2,89;;;
2025/03/17 17:15:00;P;;2,94;2,89;0,0;0,0;0,0
2025/03/17 17:25:00;A;;;;;0,5;0,3
2025/03/17 17:30:00;A;;2,93;2,88;0,0;0,8;0,7
2025/03/17 17:30:01;P;;;;;0,8;0,7
2025/03/17 17:35:00;A;;;;;1,2;0,4
2025/03/17 17:40:00;A;;;;;0,7;
