Date-time;Type;Metadato grafico storico;POZ007 - Mazzini - Misura pressione rete (bar);POZ007 - Mazzini - Misura portata rete modbus (l/s);POZ007 - Mazzini - Misura livello falda (m)
2025/03/01 15:00:00;A;;6,7;69,3;26,51
2025/03/01 15:00:01;P;;;;26,51
2025/03/01 15:01:00;A;;;;26,12
2025/03/01 15:02:00;A;;;;27,23
2025/03/01 15:03:00;A;;;;26,90
2025/03/01 15:05:00;A;;;;26,19
2025/03/01 15:07:00;A;;;;27,07
2025/03/01 15:09:00;A;;;;26,28
2025/03/01 15:10:00;A;;;;27,57
2025/03/01 15:11:00;A;;;;27,31
2025/03/01 15:12:00;A;;;;27,08
2025/03/01 15:15:00;A;;6,9;69,6;26,65
2025/03/01 15:15:01;P;;;;26,65
2025/03/01 15:20:00;A;;;;27,04
2025/03/01 15:21:00;A;;;;26,66
2025/03/01 15:22:00;A;;;;26,37
2025/03/01 15:23:00;A;;;;26,63
2025/03/01 15:24:00;A;;;;26,87
2025/03/01 15:26:00;A;;;;24,14
2025/03/01 15:27:00;A;;;;26,85
2025/03/01 15:29:00;A;;;;26,18
2025/03/01 15:30:00;A;;6,9;69,2;26,62
2025/03/01 15:30:01;P;;;;26,62
2025/03/01 15:31:00;A;;;;27,03
2025/03/01 15:32:00;A;;;;26,74
2025/03/01 15:33:00;A;;;;27,42
2025/03/01 15:34:00;A;;;;26,25
2025/03/01 15:35:00;A;;;;26,81
2025/03/01 15:37:00;A;;;;26,60
2025/03/01 15:38:00;A;;;;25,99
2025/03/01 15:39:00;A;;;;26,71
2025/03/01 15:40:00;A;;;;26,99
2025/03/01 15:41:00;A;;;;26,47
2025/03/01 15:42:00;A;;;;27,11
2025/03/01 15:43:00;A;;;;26,84
2025/03/01 15:45:00;A;;6,9;67,9;27,61
2025/03/01 15:45:01;P;;;;27,61
2025/03/01 15:46:00;A;;;;26,67
2025/03/01 15:47:00;A;;;;26,91
2025/03/01 15:48:00;A;;;;26,37
2025/03/01 15:49:00;A;;;;28,70
2025/03/01 15:50:00;A;;;;27,17
2025/03/01 15:52:00;A;;;;28,62
2025/03/01 15:53:00;A;;;;26,81
2025/03/01 15:55:00;A;;;;27,10
2025/03/01 15:57:00;A;;;;26,87
2025/03/01 16:00:00;A;;7,0;69,7;27,69
2025/03/01 16:00:01;P;;;;27,69
2025/03/01 16:01:00;A;;;;25,27
