Date-time;Type;Metadato grafico storico;POZ005 - Battisti - Misura pressione rete (bar);POZ005 - Battisti - Misura portata rete modbus (l/s);POZ005 - Battisti - Misura livello falda (m)
2025/03/02 09:46:00;A;;;;11,53
2025/03/02 09:50:00;A;;8,3;;
2025/03/02 09:51:00;A;;8,5;;
2025/03/02 09:55:00;A;;;68,7;
2025/03/02 10:00:00;A;;8,5;72,2;11,37
2025/03/02 10:00:01;P;;;72,2;
2025/03/02 10:01:00;A;;;;11,69
2025/03/02 10:04:00;A;;;;12,32
2025/03/02 10:05:00;A;;;;11,71
2025/03/02 10:15:00;P;;8,5;70,3;11,84
2025/03/02 10:19:00;A;;;;11,54
2025/03/02 10:20:00;A;;;;11,79
2025/03/02 10:22:00;A;;;;12,59
2025/03/02 10:23:00;A;;;;11,63
2025/03/02 10:30:00;P;;8,6;71,3;11,56
2025/03/02 10:31:00;A;;;;12,19
2025/03/02 10:32:00;A;;;;11,67
2025/03/02 10:35:00;A;;;;9,89
2025/03/02 10:36:00;A;;;;11,84
2025/03/02 10:37:00;A;;;;11,64
2025/03/02 10:43:00;A;;;;11,88
2025/03/02 10:45:00;A;;8,6;70,2;11,59
2025/03/02 10:45:01;P;;;;11,59
2025/03/02 11:00:00;P;;8,7;68,2;11,55
2025/03/02 11:07:00;A;;;;11,80
2025/03/02 11:15:00;P;;8,6;68,5;11,68
2025/03/02 11:30:00;P;;8,7;68,1;11,73
2025/03/02 11:31:00;A;;;;11,28
2025/03/02 11:32:00;A;;;;11,71
2025/03/02 11:44:00;A;;;;11,47
2025/03/02 11:45:00;A;;8,7;61,4;11,57
2025/03/02 11:45:01;P;;;61,4;
2025/03/02 11:47:00;A;;;;11,99
2025/03/02 11:48:00;A;;;;11,65
2025/03/02 12:00:00;P;;8,6;62,7;11,47
2025/03/02 12:10:00;A;;;58,4;10,36
2025/03/02 12:11:00;A;;;;11,48
2025/03/02 12:15:00;A;;8,7;62,8;11,66
2025/03/02 12:15:01;P;;;62,8;
2025/03/02 12:17:00;A;;;;10,30
2025/03/02 12:18:00;A;;;;11,46
2025/03/02 12:28:00;A;;;;11,70
2025/03/02 12:30:00;P;;8,7;64,4;11,66
2025/03/02 12:36:00;A;;;;13,83
2025/03/02 12:37:00;A;;;;12,32
2025/03/02 12:38:00;A;;;;11,71
2025/03/02 12:43:00;A;;;;11,50
2025/03/02 12:45:00;P;;8,7;64,1;11,59
2025/03/02 12:55:00;A;;;59,5;10,53
2025/03/02 12:56:00;A;;;;11,50
2025/03/02 13:00:00;A;;8,6;60,5;11,25
2025/03/02 13:00:01;P;;;;11,25
2025/03/02 13:01:00;A;;;;11,47
2025/03/02 13:06:00;A;;;;12,01
2025/03/02 13:07:00;A;;;;11,55
2025/03/02 13:15:00;A;;8,7;56,9;11,13
2025/03/02 13:15:01;P;;;56,9;11,13
2025/03/02 13:18:00;A;;;;11,67
2025/03/02 13:19:00;A;;;;11,42
2025/03/02 13:30:00;A;;8,7;52,4;11,42
2025/03/02 13:30:01;P;;;52,4;
2025/03/02 13:34:00;A;;;;11,67
2025/03/02 13:35:00;A;;;;11,37
2025/03/02 13:44:00;A;;;;11,76
2025/03/02 13:45:00;A;;8,6;51,9;11,36
2025/03/02 13:45:01;P;;;;11,36
2025/03/02 13:47:00;A;;;;11,97
2025/03/02 13:48:00;A;;;;11,21
2025/03/02 13:49:00;A;;;;11,47
2025/03/02 13:53:00;A;;;;11,86
2025/03/02 13:54:00;A;;;;11,54
2025/03/02 13:55:00;A;;;;11,30
2025/03/02 14:00:00;P;;8,6;51,4;11,20
2025/03/02 14:02:00;A;;;;12,59
2025/03/02 14:03:00;A;;;;11,42
2025/03/02 14:05:00;A;;;;12,02
2025/03/02 14:06:00;A;;;;11,26
2025/03/02 14:10:00;A;;;46,4;
2025/03/02 14:14:00;A;;;;10,80
2025/03/02 14:15:00;A;;8,7;46,2;11,24
2025/03/02 14:15:01;P;;;;11,24
2025/03/02 14:24:00;A;;;;10,91
2025/03/02 14:25:00;A;;;;11,40
2025/03/02 14:30:00;A;;8,7;42,7;10,98
2025/03/02 14:30:01;P;;;42,7;10,98
2025/03/02 14:31:00;A;;;;11,20
2025/03/02 14:45:00;A;;8,8;38,6;11,19
2025/03/02 14:45:01;P;;;38,6;
2025/03/02 14:47:00;A;;;;11,63
2025/03/02 14:48:00;A;;;;11,15
2025/03/02 14:50:00;A;;;42,5;
2025/03/02 14:58:00;A;;;;11,40
2025/03/02 14:59:00;A;;;;11,20
2025/03/02 15:00:00;P;;8,7;45,4;11,29
2025/03/02 15:01:00;A;;;;11,51
2025/03/02 15:03:00;A;;;;11,21
2025/03/02 15:15:00;A;;8,6;41,0;11,04
2025/03/02 15:15:01;P;;;41,0;
2025/03/02 15:24:00;A;;;;11,31
2025/03/02 15:25:00;A;;;;11,06
2025/03/02 15:30:00;P;;8,6;38,7;11,10
2025/03/02 15:31:00;A;;;;11,39
2025/03/02 15:32:00;A;;;;11,12
2025/03/02 15:37:00;A;;;;11,33
2025/03/02 15:40:00;A;;;34,1;
2025/03/02 15:41:00;A;;;;11,03
2025/03/02 15:45:00;P;;8,7;34,9;11,05
2025/03/02 15:47:00;A;;;;11,43
2025/03/02 15:49:00;A;;;;11,17
2025/03/02 16:00:00;P;;8,7;35,7;11,10
2025/03/02 16:05:00;A;;;32,4;
2025/03/02 16:10:00;A;;;37,3;
2025/03/02 16:15:00;A;;8,7;33,0;11,18
2025/03/02 16:15:01;P;;;33,0;
2025/03/02 16:17:00;A;;;;11,57
2025/03/02 16:18:00;A;;;;11,18
2025/03/02 16:21:00;A;;;;10,66
2025/03/02 16:23:00;A;;;;11,06
2025/03/02 16:30:00;P;;8,6;35,3;11,05
2025/03/02 16:40:00;A;;;47,2;11,31
2025/03/02 16:43:00;A;;;;11,08
2025/03/02 16:44:00;A;;;;11,37
2025/03/02 16:45:00;P;;8,6;46,1;11,35
2025/03/02 16:55:00;A;;;50,4;
2025/03/02 17:00:00;P;;8,7;50,1;11,27
2025/03/02 17:08:00;A;;;;11,49
2025/03/02 17:10:00;A;;;55,0;
2025/03/02 17:11:00;A;;;;11,27
2025/03/02 17:14:00;A;;;;11,48
2025/03/02 17:15:00;P;;8,7;56,9;11,44
2025/03/02 17:25:00;A;;;65,9;11,66
2025/03/02 17:29:00;A;;;;11,41
2025/03/02 17:30:00;A;;8,7;59,7;11,45
2025/03/02 17:30:01;P;;;59,7;
2025/03/02 17:36:00;A;;;;11,06
2025/03/02 17:37:00;A;;;;11,37
2025/03/02 17:40:00;A;;;;10,72
2025/03/02 17:41:00;A;;;;11,52
2025/03/02 17:42:00;A;;;;11,27
2025/03/02 17:43:00;A;;;;11,52
2025/03/02 17:45:00;P;;8,6;60,3;11,59
2025/03/02 17:56:00;A;;;;11,28
