Date-time;Type;Metadato grafico storico;RIL003 - San Giorgio - Misura pressione rete (bar);RIL003 - San Giorgio - Misura pressione rilancio (bar);RIL003 - San Giorgio - Misura pressione Miramonti (bar);RIL003 - San Giorgio - Misura portata Miramonti (impulsiva) (mc);RIL003 - San Giorgio - Misura portata rete (impulsiva) (mc)
2025/03/02 00:35:00;A;;;;5,5;;
2025/03/02 00:40:00;A;;3,5;;6,2;;
2025/03/02 00:45:00;A;;3,6;48,1;5,8;0,00;0,0
2025/03/02 00:45:01;P;;;;5,8;;
2025/03/02 00:50:00;A;;;;5,4;;
2025/03/02 00:55:00;A;;;;5,9;;
2025/03/02 01:00:00;A;;3,6;48,1;5,6;0,00;0,0
2025/03/02 01:00:01;P;;;;5,6;;
2025/03/02 01:10:00;A;;;;5,8;;
2025/03/02 01:15:00;P;;3,6;48,1;5,7;0,00;0,0
2025/03/02 01:20:00;A;;;;5,4;;
2025/03/02 01:30:00;A;;3,6;48,1;5,6;0,00;0,0
2025/03/02 01:30:01;P;;;;5,6;;
2025/03/02 01:35:00;A;;;;6,0;;
2025/03/02 01:40:00;A;;;;5,4;;
2025/03/02 01:45:00;P;;3,6;48,0;5,5;0,00;0,0
2025/03/02 02:00:00;A;;3,6;48,0;5,8;0,00;0,0
2025/03/02 02:00:01;P;;;;5,8;;
2025/03/02 02:15:00;A;;3,6;48,1;6,0;0,00;0,0
2025/03/02 02:15:01;P;;;;6,0;;
2025/03/02 02:20:00;A;;;;5,7;;
2025/03/02 02:30:00;P;;3,6;48,0;5,7;0,00;0,0
2025/03/02 02:40:00;A;;;;6,0;;
2025/03/02 02:45:00;A;;3,3;48,1;5,8;0,00;0,0
2025/03/02 02:45:01;P;;3,3;;;;
2025/03/02 02:50:00;A;;3,6;;5,6;;
2025/03/02 02:55:00;A;;;;5,8;;
2025/03/02 03:00:00;P;;3,6;48,1;6,0;0,00;0,0
2025/03/02 03:05:00;A;;;;5,5;;
2025/03/02 03:10:00;A;;;;6,3;;
2025/03/02 03:15:00;A;;3,6;48,1;5,7;0,00;0,0
2025/03/02 03:15:01;P;;;;5,7;;
2025/03/02 03:25:00;A;;;;6,0;;
2025/03/02 03:30:00;A;;3,6;48,1;5,4;0,00;0,0
2025/03/02 03:30:01;P;;;;5,4;;
2025/03/02 03:35:00;A;;;;5,7;;
2025/03/02 03:40:00;A;;;;5,9;;
2025/03/02 03:45:00;A;;3,6;48,0;5,6;0,00;0,0
2025/03/02 03:45:01;P;;;;5,6;;
2025/03/02 03:50:00;A;;;;6,1;;
2025/03/02 04:00:00;A;;3,6;48,0;5,9;0,00;0,0
2025/03/02 04:00:01;P;;;;5,9;;
2025/03/02 04:05:00;A;;;;5,4;;
2025/03/02 04:10:00;A;;;;5,7;;
2025/03/02 04:15:00;P;;3,6;48,1;5,6;0,00;0,0
2025/03/02 04:20:00;A;;;;5,9;;
2025/03/02 04:25:00;A;;;;5,4;;
2025/03/02 04:30:00;A;;3,6;48,0;5,6;0,00;0,0
2025/03/02 04:30:01;P;;;;5,6;;
2025/03/02 04:35:00;A;;;;5,9;;
2025/03/02 04:45:00;A;;3,6;48,0;5,6;0,00;0,0
2025/03/02 04:45:01;P;;;;5,6;;
2025/03/02 04:55:00;A;;;;5,9;;
2025/03/02 05:00:00;A;;3,6;48,0;5,4;0,00;0,0
2025/03/02 05:00:01;P;;;;5,4;;
2025/03/02 05:05:00;A;;;;5,6;;
2025/03/02 05:10:00;A;;;;5,8;;
2025/03/02 05:15:00;P;;3,6;48,0;5,9;0,00;0,0
2025/03/02 05:25:00;A;;;;5,4;;
2025/03/02 05:30:00;A;;3,8;48,0;6,2;0,00;0,0
2025/03/02 05:30:01;P;;;;6,2;;
2025/03/02 05:35:00;A;;;;5,8;;
2025/03/02 05:40:00;A;;4,0;;;;
2025/03/02 05:45:00;A;;3,7;48,0;5,6;0,00;0,0
2025/03/02 05:45:01;P;;3,7;;5,6;;
2025/03/02 05:50:00;A;;;;5,9;;
2025/03/02 05:55:00;A;;;;6,3;;
2025/03/02 06:00:00;A;;3,6;48,0;5,5;0,00;0,0
2025/03/02 06:00:01;P;;;;5,5;;
2025/03/02 06:15:00;P;;3,8;48,0;5,4;0,00;0,0
2025/03/02 06:20:00;A;;;;5,7;;
2025/03/02 06:25:00;A;;;;6,0;;
2025/03/02 06:30:00;P;;3,8;48,0;6,1;0,00;0,0
2025/03/02 06:35:00;A;;;;5,6;;
2025/03/02 06:45:00;P;;3,7;48,0;5,7;0,00;0,0
2025/03/02 06:50:00;A;;;;6,0;;
2025/03/02 06:55:00;A;;;;5,8;;
2025/03/02 07:00:00;A;;3,6;48,0;6,0;0,00;0,0
2025/03/02 07:00:01;P;;;;6,0;;
2025/03/02 07:10:00;A;;;;5,8;;
2025/03/02 07:15:00;A;;3,6;48,0;5,4;0,00;0,0
2025/03/02 07:15:01;P;;;;5,4;;
2025/03/02 07:20:00;A;;;;6,0;;
2025/03/02 07:25:00;A;;3,3;;;;
2025/03/02 07:30:00;A;;3,5;48,0;5,7;0,00;0,0
2025/03/02 07:30:01;P;;;;5,7;;
2025/03/02 07:35:00;A;;3,3;;6,2;;
2025/03/02 07:40:00;A;;;;5,8;;
2025/03/02 07:45:00;P;;3,3;48,0;5,7;0,00;0,0
2025/03/02 07:50:00;A;;;;6,0;;
2025/03/02 07:55:00;A;;;;5,5;;
2025/03/02 08:00:00;A;;3,3;48,0;5,8;0,00;0,0
2025/03/02 08:00:01;P;;;;5,8;;
2025/03/02 08:05:00;A;;;;6,1;;
2025/03/02 08:10:00;A;;;;5,6;;
2025/03/02 08:15:00;P;;3,1;48,0;5,7;0,00;0,0
2025/03/02 08:20:00;A;;;;6,2;;
2025/03/02 08:25:00;A;;;;5,8;;
2025/03/02 08:30:00;A;;3,3;48,0;6,1;0,00;0,0
2025/03/02 08:30:01;P;;;;6,1;;
2025/03/02 08:45:00;A;;3,3;48,0;5,6;0,00;0,0
2025/03/02 08:45:01;P;;;;5,6;;
2025/03/02 08:55:00;A;;;;5,9;;
2025/03/02 09:00:00;P;;3,2;48,0;5,8;0,00;0,0
2025/03/02 09:05:00;A;;;;5,5;;
2025/03/02 09:10:00;A;;;;5,9;;
2025/03/02 09:15:00;A;;3,3;48,0;5,4;0,00;0,0
2025/03/02 09:15:01;P;;;;5,4;;
2025/03/02 09:25:00;A;;;;5,8;;
2025/03/02 09:30:00;A;;3,6;48,0;6,0;0,00;0,0
2025/03/02 09:30:01;P;;3,6;;;;
2025/03/02 09:35:00;A;;3,3;;;;
2025/03/02 09:45:00;P;;3,3;48,0;6,0;0,00;0,0
2025/03/02 09:50:00;A;;;;5,6;;
2025/03/02 09:55:00;A;;;;6,0;;
2025/03/02 10:00:00;P;;3,2;48,0;5,9;0,00;0,0
2025/03/02 10:05:00;A;;;;5,7;;
2025/03/02 10:10:00;A;;2,3;;;;
2025/03/02 10:15:00;A;;3,3;48,0;5,5;0,00;0,0
2025/03/02 10:15:01;P;;3,3;;5,5;;
2025/03/02 10:25:00;A;;3,6;;6,2;;
2025/03/02 10:30:00;A;;3,4;48,0;5,7;0,00;0,0
2025/03/02 10:30:01;P;;;;5,7;;
2025/03/02 10:45:00;P;;3,4;48,0;5,5;0,00;0,0
2025/03/02 11:00:00;A;;3,4;48,0;6,2;0,00;0,0
2025/03/02 11:00:01;P;;;;6,2;;
2025/03/02 11:05:00;A;;;;5,4;;
2025/03/02 11:10:00;A;;;;5,8;;
2025/03/02 11:15:00;A;;3,4;47,9;5,6;0,00;0,0
2025/03/02 11:15:01;P;;;;5,6;;
2025/03/02 11:20:00;A;;;;6,0;;
2025/03/02 11:25:00;A;;;;5,5;;
2025/03/02 11:30:00;A;;3,6;48,0;6,1;0,00;0,0
2025/03/02 11:30:01;P;;;;6,1;;
2025/03/02 11:35:00;A;;;;5,5;;
2025/03/02 11:45:00;P;;3,5;47,9;5,5;0,00;0,0
2025/03/02 11:55:00;A;;;;6,1;;
2025/03/02 12:00:00;A;;3,4;48,0;5,6;0,00;0,0
2025/03/02 12:00:01;P;;;;5,6;;
2025/03/02 12:05:00;A;;;;6,1;;
2025/03/02 12:15:00;P;;3,5;47,9;5,9;0,00;0,0
2025/03/02 12:20:00;A;;;51,6;;;
2025/03/02 12:25:00;A;;;;6,3;;
2025/03/02 12:30:00;A;;3,4;51,6;5,7;0,00;0,0
2025/03/02 12:30:01;P;;;;5,7;;
2025/03/02 12:35:00;A;;;;6,1;;
2025/03/02 12:40:00;A;;;;5,5;;
2025/03/02 12:45:00;A;;3,3;51,6;6,0;0,00;0,0
2025/03/02 12:45:01;P;;;;6,0;;
2025/03/02 12:50:00;A;;3,6;;;;
2025/03/02 12:55:00;A;;;;5,4;;
2025/03/02 13:00:00;A;;3,5;51,7;6,0;0,00;0,0
2025/03/02 13:00:01;P;;;;6,0;;
2025/03/02 13:10:00;A;;;;5,7;;
2025/03/02 13:15:00;P;;3,4;51,6;5,7;0,00;0,0
2025/03/02 13:25:00;A;;;;5,9;;
2025/03/02 13:30:00;A;;3,5;48,1;5,6;0,00;0,0
2025/03/02 13:30:01;P;;;48,1;5,6;;
2025/03/02 13:40:00;A;;;;6,1;;
2025/03/02 13:45:00;A;;3,5;48,1;5,5;0,00;0,0
