;;;;;;T:/acquedotto/modello_idraulico/Misure_portate_pressioni/svolgimento/dati;;;;;T:/acquedotto/modello_idraulico/calibrazione/iwws_live_data;;;
n;date_type;row1;sep;dir_in;type_inp;file_in;file_out;tipo_org;tipo_mis;udm;descri;note;file_corretto;note_correz
78;ITA;1;semicolon;campagna_mis;simple_1;pide_campagna_mis_q.csv;cal78_DST005_0361_20251_Q_01_ponte_resia_q;meter;flow;l/s;Ponte Resia;;;
79;ITA;1;semicolon;campagna_mis;simple_2;pide_campagna_mis_q.csv;cal79_DST001_0763_20576_Q_02_ponte_talvera_q;meter;flow;l/s;Ponte Talvera;;;
80;ITA;1;semicolon;campagna_mis;simple_3;pide_campagna_mis_q.csv;cal80_DST002_0767_20576_Q_03_ponte_druso_q;meter;flow;l/s;Ponte Druso;;;
81;ITA;1;semicolon;campagna_mis;simple_4;pide_campagna_mis_q.csv;cal81_DST007_0837_20576_Q_04_valdega_carab_q;meter;flow;l/s;Via Val d'Ega - Carabinieri;;;
82;ITA;1;semicolon;campagna_mis;simple_5;pide_campagna_mis_q.csv;cal82_DST006_0766_20576_Q_05_rencio_x_s_giustina_q;meter;flow;l/s;Via Rencio incrocio via Santa Giustina;;;
83;ITA;1;semicolon;campagna_mis;simple_6;pide_campagna_mis_q.csv;cal83_DST003_0765_20576_Q_06_ponte_roma_q;meter;flow;l/s;Ponte Roma;;;
84;ITA;1;semicolon;campagna_mis;simple_7;pide_campagna_mis_q.csv;cal84_SER002_0756_28784_Q_07_serb_s_maurizio_q;meter;flow;l/s;Serbatoio San Maurizio;;;
85;ITA;1;semicolon;campagna_mis;simple_8;pide_campagna_mis_q.csv;cal85____Q_08_rilancio_cep_q;meter;flow;l/s;Rilancio CEP;;;
86;ITA;1;semicolon;campagna_mis;simple_1;pide_campagna_mis_p.csv;cal86_DST005_0361_20496_H_01_ponte_resia_p;nodo;pressure;m;Ponte Resia;;;
87;ITA;1;semicolon;campagna_mis;simple_2;pide_campagna_mis_p.csv;cal87____H_02_lungo_talvera_gries_p;nodo;pressure;m;Lungo Talvera Gries;;;
88;ITA;1;semicolon;campagna_mis;simple_3;pide_campagna_mis_p.csv;cal88____H_03_druso_1a_p;nodo;pressure;m;Via Druso, 1/A;;;
89;ITA;1;semicolon;campagna_mis;simple_4;pide_campagna_mis_p.csv;cal89_DST007_0837_20481_H_04_d_ega_carabin_p;nodo;pressure;m;Via Val d'Ega - Carabinieri;;;
90;ITA;1;semicolon;campagna_mis;simple_5;pide_campagna_mis_p.csv;cal90_DST006_0766_20481_H_05_rencio_x_s_giustina_p;nodo;pressure;m;Via Rencio incrocio via Santa Giustina;;;
91;ITA;1;semicolon;campagna_mis;simple_6;pide_campagna_mis_p.csv;cal91_DST003_0765_20481_H_06_ponte_roma_p;nodo;pressure;m;Ponte Roma;;;
92;ITA;1;semicolon;campagna_mis;simple_7;pide_campagna_mis_p.csv;cal92____H_07_c_firmiano_33_p;nodo;pressure;m;Via Castel Firmiano, 33;;;
93;ITA;1;semicolon;campagna_mis;simple_8;pide_campagna_mis_p.csv;cal93____H_08_vittorio_veneto_84_p;nodo;pressure;m;Via Vittorio Veneto, 84;;;
94;ITA;1;semicolon;campagna_mis;simple_9;pide_campagna_mis_p.csv;cal94____H_09_castel_roncolo_23_p;nodo;pressure;m;Via Castel Roncolo, 23;;;
95;ITA;1;semicolon;campagna_mis;simple_10;pide_campagna_mis_p.csv;cal95____H_10_portici_35_p;nodo;pressure;m;Via Portici, 35;;;
96;ITA;1;semicolon;campagna_mis;simple_11;pide_campagna_mis_p.csv;cal96____H_11_v_d_ega_43_p;nodo;pressure;m;Via Val d'Ega, 43;;;
97;ITA;1;semicolon;campagna_mis;simple_12;pide_campagna_mis_p.csv;cal97____H_12_p_zza_casagrande_p;nodo;pressure;m;Piazza M. Casagrande;;;
98;ITA;1;semicolon;campagna_mis;simple_13;pide_campagna_mis_p.csv;cal98____H_13_castel_weinegg_p;nodo;pressure;m;Via Castel Weinegg;;;
99;ITA;1;semicolon;campagna_mis;simple_14;pide_campagna_mis_p.csv;cal99____H_14_copernico_10_p;nodo;pressure;m;Via Copernico, 10;;;
100;ITA;1;semicolon;campagna_mis;simple_15;pide_campagna_mis_p.csv;cal100____H_15_campofranco_ipp_p;nodo;pressure;m;Via Campofranco - ippodromo;;;
